bot,position,pool,pair,created_at_utc,closed_at_utc,deposit_sol,withdrawal_sol,fee_sol,pnl_sol,pnl_usd,mode,strategy,event,exit_reason,peak_pnl_pct,hold_minutes,ai_holds,bin_width
meridian,7FyFACk9YwCSjBtLnJ6nrvLPL6LKqqpzV6PbAeEy2CgG,9aXA6qqqXueA6Eq9WPRgas4wQgjPCEspzutbaS3UZkXT,CLANKER-SOL,2026-09-10T08:35:57+00:00,2026-09-10T09:36:09+00:00,0.49999997100000004,0.4999685462491234,0.00057865,0.0005472252491233176,-0.08937997802473774,,bid_ask,exit,Low yield: fee/TVL 2.94% < min 7% (age: 60m),,60.2,,54
meridian,26brWXFXHpZsmKoX8ABJBAjEmQp2aLN7nTV6BwVAaaf1,R88hawBDy3CTiX7F7woKgMJAXbed7f5H38qR4FB2eav,world-SOL,2026-09-10T10:35:17+00:00,2026-09-10T10:41:26+00:00,0.499999986,0.499994404,0.000004987999999999993,-0.0000005940000000204115,0.14054816167875828,,bid_ask,exit,Out of range for 5m (limit: 5m),,6.15,,35
meridian,5vxLSgtPBdD7JQkrjgJCfwfXxic8pMmJujE8RXU4qweC,64BSmy7BESiHnWYzLdPso6FuXymh7H8jTkaiyfbBg1YD,MINI-SOL,2026-09-10T07:20:16+00:00,2026-09-10T11:10:39+00:00,0.4999999809999999,0.499990055,0.0076124766215856276,0.007602550621585713,0.49015299328509343,,bid_ask,exit,Out of range for 5m (limit: 5m),,230.38333333333333,,36
meridian,AYPx514LopQ4FWgo76XxUeoXJp4Zif9pJGdBRRoVdvM8,EyQTPRzUY2VcuiVhJNc8NaYoww2uxTeT4jfb6DqxLxwA,UBI-SOL,2026-09-10T11:05:19+00:00,2026-09-10T12:05:32+00:00,0.49999998100000004,0.49958820358751915,0.000961607276189669,0.0005498298637088284,0.07088326964765912,,bid_ask,exit,Low yield: fee/TVL 4.34% < min 7% (age: 60m),,60.21666666666667,,36
meridian,6DXr2XKY9w5NQXFJrXEF1j9kVbwXfuBh61nqn4qV6gWC,8LZK8W9Pp6GrMKCoTALS3AZ6eAX62uKv8bHPY57iXZkL,OTC-SOL,2026-09-10T12:55:15+00:00,2026-09-10T13:47:31+00:00,0.499999976,0.499998532,0.0006083867389431647,0.0006069427389431281,0.4414983211921353,,bid_ask,exit,Out of range for 6m (limit: 5m),,52.266666666666666,,48
meridian,9tzTFLqgJD5CAPSSH84YLiJQzhyjbBmjLSTEcT8Qq9nU,GbrDAq3RjcVWeroLDUwmnuQ8N5xaaKj2Rk2dJDg64CLY,EMBER-SOL,2026-09-10T14:05:15+00:00,2026-09-10T14:45:42+00:00,0.499999978,0.42972162918585854,0.020092782845570097,-0.05018556596857138,-4.850047067337229,,bid_ask,exit,Stop loss: PnL -9.49% <= -8%,,40.45,,37
meridian,4qz91tPgJ1xqQuG6urPWTgor2ze52x5P5vCjYw4PdTbx,54sbyULrreD9HBoV5wRWedeCBEw6gQ7VkdHW18rLX78e,CTO-SOL,2026-09-10T16:10:20+00:00,2026-09-10T16:19:09+00:00,0.499999981,0.499999978,0.000000001999999999991021,-0.0000000009999999717180685,-0.10932338996606461,,bid_ask,exit,Out of range for 7m (limit: 5m),,8.816666666666666,,36
meridian,2sfhUAhqfPtYUaVGfwE3vRWXMM792khTrB6shJiDzBYW,953MwRPrSjhY6FzjaiGLcEMTKbiXmdfrx6oCs2dx4oAy,FRIES-SOL,2026-09-10T16:38:53+00:00,2026-09-10T16:53:23+00:00,0.499999986,0.499999993,0.000681059,0.0006810660000000079,0.27330900084765375,,bid_ask,exit,Out of range for 5m (limit: 5m),,14.5,,35
meridian,B6MFNZbSAZF4Aw2UqMPaz8mcKb3QX7vHWob1nuEDsLWT,68C62WPYiiNZxprbuaMj2ULXpiTDKcs5xsX7kBGnyajR,MANLET-SOL,2026-09-10T16:20:43+00:00,2026-09-10T17:14:30+00:00,0.49999997100000004,0.499999542,0.0000033767439563190972,0.000002947743956260851,0.33115077606750987,,bid_ask,exit,Out of range for 5m (limit: 5m),,53.78333333333333,,58
meridian,3TztP7LUfGpuUAR67XvwwJQ3unV42oaReC4xeHLQUNjj,EAf6shtt8QGJ7UiSRrDc6pzwXKEmb5s7tCCpSDe5zpzZ,BUTTHOLE-SOL,2026-09-10T18:09:42+00:00,2026-09-10T18:18:31+00:00,0.499997004,0.49999635699999995,0.0000005799999999999905,-0.00000006700000010351204,-0.0899792455227626,,bid_ask,exit,Out of range for 7m (limit: 5m),,8.816666666666666,,77
